"GSM801988"	"GSM801989"	"GSM801990"	"GSM801991"	"GSM801992"	"GSM801993"	"GSM801994"	"GSM801995"	"GSM801996"	"GSM801997"	"GSM801998"	"GSM801999"	"GSM802000"	"GSM802001"	"GSM802002"	"GSM802003"	"GSM802004"	"GSM802005"	"GSM802006"	"GSM802007"	"GSM802008"	"GSM802009"	"GSM802010"	"GSM802011"	"GSM802012"	"GSM802013"	"GSM802014"	"GSM802015"	"GSM802016"	"GSM802017"	"GSM802018"	"GSM802019"	"GSM802020"	"GSM802021"	"GSM802022"	"GSM802023"	"GSM802024"	"GSM802025"	"GSM802026"	"GSM802027"	"GSM802028"	"GSM802029"	"GSM802030"	"GSM802031"	"GSM802032"	"GSM802033"	"GSM802034"	"GSM802035"	"GSM802036"	"GSM802037"	"GSM802038"	"GSM802039"	"GSM802040"	"GSM802041"	"GSM802042"	"GSM802043"	"GSM802044"	"GSM802045"	"GSM802046"	"GSM802047"	"GSM802048"	"GSM802049"	"GSM802050"	"GSM802051"	"GSM802052"	"GSM802053"	"GSM802054"	"GSM802055"	"GSM802056"	"GSM802057"	"GSM802058"	"GSM802059"	"GSM802060"	"GSM802061"	"GSM802062"	"GSM802063"	"GSM802064"	"GSM802065"	"GSM802066"	"GSM802067"	"GSM802068"	"GSM802069"	"GSM802070"	"GSM802071"	"GSM802072"	"GSM802073"	"GSM802074"	"GSM802075"	"GSM802076"
"ACOX3"	-0.765	-0.5165	-0.7535	-0.516	-0.4695	-0.5065	-0.995	-1.0765	-0.7235	-1.248	-1.205	-0.034	-0.8995	-0.8145	-0.4955	-0.518	-0.518	-0.343	-1.2355	-0.387	-0.686	-0.619	-0.8365	-0.7295	-1.08	-0.873	-0.6695	-0.653	-0.7195	-0.691	-0.2255	-0.506	-0.191	-1.086	-0.956	-1.2385	-0.3975	-0.366	-0.5	-0.636	-0.804	-0.8425	-1.0975	-0.6575	-1.054	-1.0505	-0.5445	-0.28	-0.144	-0.8875	-1.0305	-0.729	-0.9775	-0.6565	-0.8835	-1.0545	0.2565	0.037	-0.197	-0.7865	-0.921	-0.648	-0.933	-0.379	-1.1135	-0.8885	-0.7475	-0.988	-0.675	-0.6225	-0.623	-1.1585	-0.9645	-0.8025	-0.5115	-0.745	-0.8155	-0.4855	-0.232	-0.927	-1.018	-0.775	-0.445	-0.9095	-0.363	-0.362	-0.437	-0.1345	-0.2115
"ATP1B1"	-1.436	-1.494	-1.737	-1.319	-1.019	-0.1605	-0.25	-0.6465	-0.8645	-1.143	-0.8245	-1.6615	-1.0285	-0.731	-0.3225	-0.1525	-0.287	-0.846	-0.919	-1.407	-1.444	-1.4045	-1.3865	-0.5095	-1.6975	-1.86	-0.924	-0.066	-0.197	-0.728	-0.3475	-0.43	0.083	-1.0305	-1.234	-0.193	-1.358	-1.375	-1.259	-1.219	-0.462	-0.652	-0.619	-0.484	-0.8335	-0.685	-0.6375	-0.033	-0.331	1.4035	1.074	0.974	1.1215	0.4855	-0.0545	0.371	-0.517	-0.5965	-0.7535	0.245	0.6205	0.537	0.7705	-0.8155	0.391	-0.4295	-0.5055	-0.3645	-0.2725	0.038	-1.0055	0.03	-0.786	-0.1625	0.217	0.5315	0.573	0.22	0.7265	0.7725	1.061	-0.0565	0.7855	0.7275	-0.2275	-1.246	-0.477	-0.3115	-0.7145
"CAP1"	0.395	0.308	0.406	0.259	-0.473	-0.18	-0.187	0.177	0.087	0.051	-0.339	-0.097	0.117	-0.165	-0.021	0.234	-0.043	0.521	0.153	0.173	0.231	-0.021	0.396	-0.23	0.146	0.027	-0.075	0.214	-0.222	0.247	0.208	-0.066	0.329	-0.563	-0.17	-0.313	0.147	0.417	-0.121	-0.185	0.266	0.405	-0.345	-0.351	-0.003	-0.847	-0.119	-0.509	-0.145	-0.669	-0.132	0.019	-0.397	-0.378	0.285	0.015	0.183	0.161	0.024	-0.717	-0.502	-0.395	-0.589	-0.075	0.039	-0.014	-0.152	-0.386	-0.155	-0.523	0.002	-0.487	-0.409	0.164	0.142	-0.391	-0.16	-0.204	0.32	0.284	-0.079	-0.035	0.557	0.299	-0.371	-0.024	-0.249	-0.064	0.002
"CARD6"	-0.225	-0.042	-0.178	-0.764	-0.731	-0.196	-0.574	0.312	0.358	-0.99	-0.822	-0.439	-0.114	-0.113	-0.358	-0.538	-0.42	0.936	-0.059	-0.656	-0.483	-0.596	-0.42	-0.981	-0.454	-0.465	-0.959	-0.925	-0.758	-0.901	-0.744	-0.971	-1.038	-1.135	-1.17	-1.767	-0.56	-0.718	-0.714	-1.622	-0.734	-1.213	-0.731	-1.104	-1.591	-1.41	-0.527	-0.66	-0.67	-2.181	-2.227	-1.963	-2.201	-0.589	-1.401	-1.005	-0.356	-0.369	-0.527	-0.657	-1.485	-1.588	-1.595	-1.029	-0.756	-1.546	-1.347	-1.388	-1.073	-1.334	-0.805	-1.477	-1.244	-1.696	-1.509	-0.241	-0.829	-0.797	-0.528	-0.477	-0.817	-0.295	-0.535	-0.856	-0.291	-0.806	-1.208	-0.767	-0.213
"CBFB"	0.842	0.651	0.876	0.7235	0.9105	0.7375	0.6735	0.382	0.639	0.9895	1.072	0.736	1.132	0.962	0.7275	1.0415	0.7465	0.91	0.618	0.6775	0.8795	0.948	0.8195	0.825	0.769	0.702	0.604	0.721	0.6555	0.752	0.703	0.842	0.492	1.0735	0.4655	0.995	0.665	0.738	0.6535	0.9305	0.815	0.8045	0.978	0.76	0.629	0.627	0.452	1.019	0.9945	1.112	1.015	0.9855	1.065	0.7395	0.548	1.0395	0.89	0.706	0.7005	0.6135	0.3855	0.3575	0.5185	0.478	0.765	0.6	0.4885	0.5575	0.4625	0.507	0.672	0.605	0.6925	0.5425	0.741	0.4175	0.426	0.6345	0.448	0.6935	0.835	0.6745	0.753	0.7845	0.775	0.581	0.721	0.741	0.8015
"CYCS"	0.798	0.7585	0.6605	0.71675	0.71875	0.857	1.0255	0.69925	0.757	0.611	0.803	0.6075	0.659	0.97725	0.86375	1.05025	0.76475	1.095	1.1345	0.34575	0.266	0.36525	0.30375	0.9905	0.75075	0.55175	0.4745	0.5315	0.54575	0.81125	0.7095	0.7555	0.7345	0.87625	0.90175	0.9325	0.785	0.584	0.59675	0.79975	0.852	1.0925	1.33775	1.03575	1.191	0.83225	1.0595	0.77525	0.81975	0.7265	0.674	0.88225	1.18575	0.7055	1.29925	0.99575	1.14275	0.93375	0.92425	0.43375	0.20875	0.7145	0.66825	0.93975	0.8125	0.96975	0.75825	0.6885	0.5735	0.88975	0.87525	0.6745	0.7995	1.0545	1.137	1.00675	0.89275	0.86975	0.953	0.735	1.01775	0.7755	0.71575	0.9105	0.97375	0.78625	0.7705	0.80525	0.82025
"DNAJB9"	0.098	-0.135	0.254	-0.107	0.321	0.044	-0.054	0.291	0.533	0.38	0.473	-0.116	0.69	0.836	0.682	-0.055	-0.097	0.588	0.168	-0.079	-0.007	-0.11	-0.041	0.126	0.181	-0.002	0.419	0.285	0.272	0.422	0.494	0.362	-0.112	0.316	0.074	0.39	0.142	0.169	0.414	0.151	0.013	0.085	0.149	0.27	-0.055	0.278	0.175	0.297	0.086	0.103	-0.183	0.328	0.156	0.341	-0.711	0.428	0.622	0.568	0.876	0.457	0.031	-0.26	-0.466	0.365	0.16	-0.123	-0.132	0.151	0.027	-0.188	0.42	0.222	0.254	0.085	0.125	0.159	0.224	-0.108	0.149	0.648	0.586	0.473	0.967	0.584	0.635	0.217	-0.035	0.283	0.523
"FDXR"	-0.475	-0.51	-0.925	0.118	-0.161	0.234	0.171	-0.264	0.051	-0.416	-0.051	-0.191	-0.207	0.148	-0.487	-0.203	-0.073	0.012	0.044	-0.195	-0.354	-0.227	-0.284	-0.093	-0.255	-0.409	-0.446	0	-0.351	-0.139	-0.027	-0.028	0.031	0.128	0.11	0.218	-0.102	-0.244	-0.327	-0.032	-0.089	-0.105	-0.087	0.222	0.271	0.575	-0.171	-0.298	0.116	0.026	-0.211	0.067	0.217	-0.134	-0.13	0.065	-0.315	-0.368	-0.582	-0.144	-0.208	0.129	-0.115	0.031	-0.263	-0.26	-0.286	-0.31	-0.042	0.251	-0.204	-0.435	-0.197	-0.28	-0.146	-0.43	-0.512	-0.13	-0.363	-0.372	-0.473	-0.4	-0.307	-0.573	0.041	-0.137	-0.03	0	0.049
"FURIN"	-1.258	-1.06	-0.857	-0.835	-1.62	-0.899	-1.196	-1.54	-0.838	-1.504	-1.45	-1.497	-1.189	-0.415	-0.561	-1.242	-0.602	-1.197	-1.442	-0.804	-1.344	-1.311	-1.48	-1.111	-1.154	-1.038	-1.086	-0.558	-1.059	-1.491	-0.781	-0.812	-0.335	-1.474	-1.075	-1.149	-1.138	-0.955	-0.973	-0.726	-0.813	-0.804	-1.98	-0.895	-0.648	-2.153	-1.086	-1.333	-1.022	-1.44	-0.824	-0.705	-1.748	-1.354	-0.783	-1.552	-0.83	-0.832	-1.408	-1.472	-0.586	-0.856	-1.134	-1.044	-1.181	-1.181	-1.349	-1.486	-0.692	-0.965	-0.76	-1.395	-1.231	-0.901	-0.997	-0.728	-0.747	-1.069	-0.533	-0.527	-0.989	-0.931	-0.404	-0.462	-0.479	-1.12	-0.722	-0.903	-0.629
"GBP2"	-2.381	-2.128	-1.739	-2.361	-2.237	-2.533	-2.6	-2.311	-2.4	-2.976	-3.176	-2.479	-2.585	-2.845	-2.372	-2.193	-2.61	-1.58	-2.312	-2.33	-2.205	-2.332	-2.759	-3.073	-3.157	-2.924	-1.924	-1.711	-2.479	-2.709	-1.986	-2.406	-2.697	-2.692	-2.532	-2.706	-1.869	-1.98	-2.502	-3.352	-1.95	-2.241	-3.04	-2.225	-2.732	-3.16	-2.928	-2.968	-2.888	-3.315	-2.884	-2.691	-3.541	-2.914	-2.871	-3.591	-3.02	-2.774	-2.776	-3.558	-3.592	-3.67	-3.088	-2.93	-3.531	-2.893	-2.866	-2.821	-2.57	-3.083	-3.357	-3.031	-2.712	-3.088	-2.884	-2.742	-3.139	-2.78	-3.034	-2.641	-2.906	-2.85	-1.588	-3.521	-3.079	-2.145	-2.758	-2.333	-2.709
